,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
13,0088a700-4144-4fd0-976c-bd9178414d6b,1125563029,video,11399,1.20%,0.20%
15,02c592c7-106a-4d99-aca8-3b45724191e3,757933327,video,15147,3.58%,0.55%
17,042d2f1d-91c5-4115-ad02-e8a28e0cd383,224208465,video,13461,3.51%,1.05%
19,060c3a83-d443-4f60-aa65-9a939b9814be,308629910,video,7158,12.01%,3.19%
21,061a2922-8adb-4918-8789-56fdedf13993,1491844899,video,14325,12.50%,1.84%
25,0fe523dd-7c2d-4be7-b947-2ad1041ec06d,417162741,video,18092,22.74%,2.31%
27,10f8e249-0966-4578-a5c1-8c26a1577c7d,184843513,video,14916,42.89%,2.48%
30,12030ea4-b66a-40b1-8693-7cd253854035,298245408,video,14403,6.62%,2.14%
34,190e05ae-3916-4839-9eeb-8032d4937b91,1106554546,video,13930,3.66%,0.49%
37,1971f94b-e1ba-4f8a-a0d0-73234b53719d,946463531,video,10378,7.84%,1.79%
39,1dcea2e4-085b-4ecc-89f4-2016fcf74691,272799714,video,16158,8.80%,1.69%
41,2062f99c-e783-4b02-a615-3d79acb67aaa,8952373521,video,16284,55.21%,12.03%
43,2080a817-9044-4574-8180-f2c307077ebb,1352568925,video,19702,9.57%,1.16%
45,245de2c8-86c3-414b-b9ed-175deda9b95f,8977022,video,19632,23.34%,1.08%
47,2648be20-1368-4fc9-bc2c-e4505bb373c5,222854006,video,7479,48.78%,7.88%
49,27ca41bd-2b67-4f1c-af29-f03c9c58d656,1.78414E+16,video,3867,14.05%,1.34%
53,2e0c7d29-a9eb-42be-b72d-8f8afbd66103,34043062,video,18038,4.56%,0.91%
55,30692cd8-de14-449a-be03-2e6d8a76604c,223152103,video,10434,23.07%,3.28%
57,3478efd1-eaed-4cb7-9167-00cf373a68d9,9004604117,video,14954,37.93%,6.01%
60,34def967-0d40-433f-8c57-0acd30d84a5d,2334094375,video,17313,9.67%,1.54%
62,35298e80-c1c6-476b-8cbc-fd3db5dfb488,2157456049,video,16093,6.07%,2.45%
64,3536b81c-1b97-4bf5-befe-19061a8d6e3c,4302609572,video,13361,55.14%,8.62%
68,3c8a07e8-9999-428c-aee8-6bf79cab89a1,1521397127,video,17640,10.90%,1.90%
70,4254e6a5-609d-48a6-a629-1e97931816f5,291133884,video,14305,24.82%,2.14%
72,4310573b-1d5a-4726-b56a-314af25ba4d3,183590226,video,11140,5.16%,0.73%
74,491ac478-9a3a-47a1-b4c5-12923b0ef99a,246768720,video,14248,20.88%,1.98%
76,4a50e5fb-1efc-4a38-b9f5-7883cd913202,562365085,video,17469,8.23%,2.27%
79,4b8a06e9-d633-4e7c-b763-5a0392c31db5,4344565326,video,8902,106.63%,5.41%
81,4bde0162-be19-45cf-b90e-bea297458099,185126198,video,19493,10.63%,1.00%
83,5206907e-1563-4890-8a81-c72194ce5b26,241216484,video,11886,10.10%,1.57%
84,52f980c5-af94-4d68-a094-e27c44900c9a,3015739273,video,10308,5.06%,1.41%
87,54bc68b6-7c75-48ab-a8c6-a08488e1f763,2063528034,video,13282,20.45%,3.70%
90,56b604ce-e0f2-4801-b9b5-8a5e98686f40,198681350,video,18627,14.50%,3.39%
93,5804edc4-d5f7-421e-af1d-9fe8ba5d017e,1955945042,video,10717,9.88%,3.01%
95,5906fa54-720c-43cb-9742-964a0a192ad8,353227257,video,19682,2.42%,0.26%
97,5a217c80-5211-4ff4-a644-12883fdab206,433418070,video,16467,11.98%,2.16%
99,5aebdc93-cd4d-4ddf-a281-43ad84815b22,383142632,video,6481,8.03%,2.83%
102,5e7ab34a-a594-4146-a3b2-b9835b78ab1c,1144237118,video,16351,7.69%,0.83%
104,60ca419a-4b13-406c-a61e-3c2e5ee94fbc,1513235909,video,15746,11.78%,1.81%
106,627da346-8aae-4697-9c38-be01c7f2309b,337495636,video,10543,4.73%,1.46%
108,63fb1be7-2ec8-4938-8117-2f0062d7a132,340511523,video,14707,26.84%,3.62%
110,64421e79-1e77-4040-be25-fdc43b1798cb,1236549759,video,18121,6.12%,1.25%
116,6e691516-466c-4886-a3a4-d045c1f06df2,473838011,video,15351,10.95%,1.12%
118,706b3e42-3bfb-4b1c-9d7e-d5d071011711,199678548,video,18744,31.94%,5.68%
120,70b35860-ac71-4964-b59a-e199f8cb25d6,835346748,video,14234,38.11%,7.05%
121,717a0721-41cf-4bb8-905d-49a390d8a38e,1110262022,video,15156,7.43%,1.11%
124,71e28aa2-3b3b-41cb-acbc-e2e7439fe963,8607297247,video,14519,48.31%,18.53%
130,76bcc904-6e35-4e39-b676-f5854bb32216,231228309,video,5478,13.89%,3.31%
132,76fb22a8-562a-4bb9-9ae1-2df8a0396870,326840969,video,5681,45.19%,10.38%
134,78afc523-3534-4236-b5a4-f0bce3e87cb2,303448092,video,9383,18.68%,3.94%
136,7f92c65a-ecce-4405-8d8a-a51a0221f32d,189376373,video,11518,23.70%,2.97%
138,81af07c9-6597-4eec-8f6f-76f04a265a94,582272259,video,10795,6.52%,1.90%
141,8729753f-a611-4ca0-9d2a-ed80c24e6588,174046794,video,9511,4.29%,1.42%
143,883bac31-a8e8-4b0f-a745-ea4af3bbf0fd,569167044,video,10650,2.86%,0.45%
148,936728b5-be24-4697-8380-865de7a149a6,23959092,video,10930,3.56%,0.93%
151,97d24610-62ab-4dc8-94c5-3dc609259a2e,5455505920,video,15697,2.10%,0.65%
153,9a05b97f-b355-4887-9069-5f28af09969a,197975448,video,14941,5.79%,1.50%
156,9b6b1bba-84b1-482c-a5e8-6db10bbe0635,264965861,video,5300,12.87%,3.81%
161,a6ceef06-bc0b-4fdc-aa6e-533aa394967f,231377815,video,5841,20.26%,5.86%
164,a9b8c1ad-bdd6-43ca-9f40-b426504807c1,652930166,video,12081,4.27%,0.51%
167,b9847296-b800-4cf6-a690-3745dff6a982,375139941,video,13321,41.66%,7.72%
169,be202d98-fa33-4897-a572-0ca881062979,2286408294,video,19038,4.89%,0.82%
171,bf111e41-4ff1-41bf-bb69-63f0e539b2fc,498097918,video,19611,16.84%,4.77%
173,c0d4f66d-bd73-486f-aadd-416bf8f7f71d,319829805,video,19128,14.53%,3.57%
175,c2f80467-0d1a-4a7a-8193-39983388a646,1450672121,video,15243,25.54%,1.92%
177,c32643f0-b0b6-4ed8-8824-c139cdab7473,1819937178,video,14300,24.46%,5.38%
179,c497b8e2-3e2a-4214-a4de-98354aceaa02,4359144891,video,18442,8.63%,1.21%
181,c59480a7-61a3-4c39-98eb-85cdb7e91fb0,347542644,video,16834,19.37%,1.74%
184,cad165e7-1907-4e31-8120-87944388c887,2163021055,video,10207,7.01%,4.34%
186,ccd3e39e-3ea8-49f4-a4ba-d142b84413a5,1276163811,video,12036,13.24%,0.90%
190,ce8b8fef-73fa-46c6-b6e7-6b45a519999b,251085702,video,7183,5.47%,0.93%
192,cfd26215-2ec0-495e-ae37-ad716770b586,486069434,video,11069,14.67%,2.39%
195,d2fa17c8-1300-40c9-a496-599406f930ca,230227768,video,19817,3.91%,0.87%
197,d39298e6-6272-4018-a0bb-2a6ea3bc979d,1.78414E+16,video,5873,18.46%,1.10%
199,d4898fb2-9a57-4319-bccc-a2c0ad2fe36b,6178819122,video,16378,27.66%,2.40%
201,d5440ad7-185a-4fb5-8135-5eacc494935c,1.78414E+16,video,11910,56.26%,4.92%
203,d65a89b6-e1bc-4580-990e-13a62b5c1584,144640989,video,11579,4.04%,0.82%
206,db915593-b96c-4af8-bc91-ced402a967e3,3153234684,video,13953,20.29%,1.89%
209,e08f768e-de91-427c-bca3-472db4344eec,185309054,video,12086,9.77%,1.33%
211,e3cf68e7-7fd1-4660-82ad-c4449ca5491c,460281803,video,6401,4.70%,1.89%
213,e758e040-0c29-45a5-81d5-48f6c3040507,1505783610,video,13209,3.25%,1.36%
215,e9f3749a-2b8c-4a6a-838b-3e4697b3d13c,203045842,video,16161,4.36%,1.39%
217,ed842ab3-90f8-4421-b0d9-bc8c0a01eacc,239506605,video,5453,18.23%,5.29%
219,eed73113-e77a-41ed-9082-c65bb938b78c,1537144383,video,11519,6.16%,1.43%
221,ef252b10-5901-4e11-a2c4-0e467292dea4,206470038,video,13352,6.98%,1.03%
224,f531a753-5a56-4935-8c5f-27b18e5f58d8,1473185099,video,16512,5.65%,0.60%
226,f62b3cfc-714e-428d-a72a-af56c349dad0,485281748,video,16756,3.74%,0.50%
228,f668b67a-e4ff-4d20-bad1-2d19466f3730,28478686,video,9172,7.21%,2.25%
231,fa805109-e024-40f3-9622-47e4785c0902,299831513,video,8208,19.29%,2.74%
233,fb0ac78b-8116-4e38-b057-d06db01c1059,1.78414E+16,video,16050,6.62%,0.25%
236,00ae9866-290e-44f9-94b8-3bff40807fde,1979260506,video,57048,93.00%,4.67%
238,00ce3e35-f54e-4528-a36a-8261eded1145,1553381096,video,26910,8.44%,2.10%
241,0105418f-4ce5-440f-b3dd-5a37d54e60ce,548127678,video,53993,9.19%,1.76%
242,014c2155-4556-4733-a81a-efa755b93a31,2084473626,video,63067,13.00%,2.05%
245,01610a37-0e77-41d9-8b52-79dd35054dcc,238086678,video,67772,6.52%,1.15%
247,017206f2-40d5-4293-ae8b-ad7a2e59805a,2027400126,video,88413,12.32%,0.90%
251,0297fe89-4ed0-4d52-a747-72fe2ae026f8,301780571,video,75233,1.01%,0.24%
253,02aa4990-3abd-4760-9f41-e256d98098a5,271630469,video,48208,6.50%,1.87%
257,02eff8fc-87b6-4ce2-881e-40552f119b19,1159014558,video,70611,79.34%,10.97%
259,031dc5a1-1381-4105-8f78-ecb2bcb8dd3f,1094628520,video,33989,16.03%,6.86%
262,03498fee-9577-4a98-9701-063a7f2f2f1a,3682961936,video,80187,14.73%,1.95%
264,036ef3ed-c735-4980-991d-e00fe09e3ed7,5407729481,video,44112,135.32%,11.55%
267,03e8c182-cd4c-437a-89bc-e053582c7e70,555310129,video,59009,2.41%,0.42%
269,042c089f-dbac-4da6-b538-1d02ee54465f,283643444,video,46702,4.61%,0.80%
271,042ce81b-5beb-47b5-b55f-bfbbfd2cbb70,46782890,video,68723,4.85%,1.26%
273,043e2003-8ec1-4520-9052-ac0fc252d9c7,280028956,video,20797,16.37%,2.69%
275,04641e0a-03f8-4324-aeb7-42ec9da53cf0,2214779427,video,51069,39.34%,3.50%
277,04a60429-90e7-4fab-a1cd-6b63d2115dfe,3072652619,video,61313,5.67%,0.76%
279,04b5bdd7-41ca-4c8b-a192-273cb3fe149b,1422189301,video,33409,30.84%,8.00%
280,04d6a7b9-8bb3-41be-b504-338105fddf0a,3639796476,video,45571,31.67%,3.14%
282,04e51b44-ca68-4cee-a76b-36446c30820e,193172956,video,71332,23.97%,6.50%
285,05112adf-7464-4e6e-8da0-7c6bae00c1b3,297084762,video,31204,1.80%,0.39%
288,05a1e4e2-89e6-45fc-99b1-8af8246b4894,1611913247,video,53257,27.41%,1.85%
291,05e2ffea-72a1-4590-bd4b-fc5280a5f0d2,312806874,video,48286,20.31%,2.76%
293,0613438d-621b-477e-877a-19199cbe375f,1941816962,video,23888,2.95%,0.46%
295,0685c717-7fe9-4f8b-8f6a-c0d6154edeb8,293182568,video,96134,14.26%,1.58%
298,06eb2859-d418-4078-b5c1-5f844284d61e,258943902,video,41423,23.08%,10.44%
300,0733fcba-9fcd-4edb-89d5-7c42b30a89d5,250530446,video,48202,35.38%,4.93%
302,07d11383-06b1-41bf-a8e5-4839c05bbf36,4478383917,video,23599,23.41%,0.78%
304,080c1d65-2717-44cf-8d70-78d55a3e8e2f,510427976,video,40210,26.54%,2.85%
306,08690026-cc11-4c60-961e-87fdc17a4f5b,749641673,video,50714,10.53%,1.23%
308,08a7a094-f62f-45ab-8252-4fcbce4cca23,595524719,video,50196,13.52%,1.04%
310,08cf868b-32ec-4bdd-bb51-fff7b65602aa,800357575,video,32937,3.66%,0.89%
312,09802265-9962-48c9-bdf6-a0a7aff9b914,211172009,video,93644,9.43%,1.82%
314,09e690aa-e915-4348-b664-191a1734990e,257029385,video,69623,2.86%,0.20%
316,0a08a0cd-d41c-4bd9-b4ef-1d69e2ef6cda,1367834530,video,40067,3.88%,0.84%
317,0a127352-3a81-4b08-8795-3e55363a6d39,1307336752,video,39392,146.57%,3.27%
319,0a3ef94a-e892-4837-abc2-092fc373d053,989639890,video,61662,6.30%,1.31%
322,0b0b9a98-9aed-46a8-b8f9-c52d096d5d29,225419077,video,35626,5.28%,0.80%
323,0b0e0be8-5324-43b4-870b-1e2274f34f7e,193671802,video,56661,12.88%,2.03%
327,0bc2d20f-085b-46b8-adaf-0ba5fc7ff706,309206696,video,52092,59.29%,1.25%
329,0bcd6faf-9235-4db7-b983-a21627a2dca0,359142245,video,81799,8.26%,1.81%
331,0be57077-8031-4efe-b0ae-4d676c06ea9f,1449493268,video,68193,41.16%,10.19%
334,0c2634c4-8f5a-4bc9-8186-96d12f6289e3,28958871,video,23405,5.03%,0.95%
337,0c3d2b1f-02b9-44f3-87b5-f111d4eb610e,365899804,video,86706,1.66%,0.17%
339,0c3eec42-213a-4345-a0f5-99f4c3d0f55e,372313184,video,29969,15.31%,2.78%
341,0c77758c-83a7-484a-b5e0-32eedc02f946,2126818895,video,31585,1.42%,0.32%
343,0c94d404-d5f2-44df-9070-44de361a8033,1938739083,video,54326,25.27%,2.72%
345,0c9e661a-f769-4e6b-acce-ff7416a1ff68,2076312484,video,34478,3.00%,0.54%
347,0ca279c4-2090-4842-ba90-d34e454e8c44,23315810,video,51669,11.70%,1.35%
349,0cc9f443-be4a-4961-9df5-c3983e945017,548537395,video,30025,12.82%,1.69%
351,0cd1afbf-8b10-4c77-aa7c-34491aeedd4b,21796789,video,32002,4.87%,0.79%
354,0dd7dafc-0743-43d7-ad87-9cab1dc63694,2232163971,video,61357,109.63%,13.06%
356,0dde628a-9de0-40dc-ac80-349bbfad4ca8,55971057,video,61500,34.32%,2.88%
358,0de712d0-9768-46b5-86e8-4f88ecd6f602,192765705,video,39551,17.66%,2.73%
361,0e3bc6f1-fb36-4ffc-8ead-8b735c93694e,360550561,video,44342,11.05%,2.02%
363,0ea24bae-3d18-482c-944e-6f8fc570e465,181862751,video,37054,8.12%,1.65%
364,0edf1f63-3110-41d5-a633-cfcaf26bc438,450126320,video,43308,6.05%,1.54%
367,0f311588-fe83-4c15-b072-4769917be9a8,1466281135,video,42489,32.24%,1.63%
